date,variable,value
2006-06-30,sentiment_michigan_ics,84.9
2006-06-30,smb,-0.35
2006-07-31,bearish_pct,43.02
2006-07-31,bull_bear_spread,-8.14
2006-07-31,bullish_pct,34.88
2006-07-31,cma,0.84
2006-07-31,hml,2.62
2006-07-31,mkt_ret,-0.37
2006-07-31,mkt_rf,-0.77
2006-07-31,neutral_pct,22.09
2006-07-31,rf,0.4
2006-07-31,rmw,1.63
2006-07-31,sentiment_michigan_ics,84.7
2006-07-31,smb,-3.95
2006-08-31,bearish_pct,25.840000000000003
2006-08-31,bull_bear_spread,15.729999999999997
2006-08-31,bullish_pct,41.57
2006-08-31,cma,2.14
2006-08-31,hml,-1.95
2006-08-31,mkt_ret,2.45
2006-08-31,mkt_rf,2.03
2006-08-31,neutral_pct,32.58
2006-08-31,rf,0.42
2006-08-31,rmw,-1.81
2006-08-31,sentiment_michigan_ics,82.0
2006-08-31,smb,0.99
2006-09-30,bearish_pct,32.89
2006-09-30,bull_bear_spread,18.43
2006-09-30,bullish_pct,51.32
2006-09-30,cma,0.46
2006-09-30,hml,0.06
2006-09-30,mkt_ret,2.25
2006-09-30,mkt_rf,1.84
2006-09-30,neutral_pct,15.79
2006-09-30,rf,0.41
2006-09-30,rmw,0.78
2006-09-30,sentiment_michigan_ics,85.4
2006-09-30,smb,-1.3
2006-10-31,bearish_pct,30.43
2006-10-31,bull_bear_spread,21.74
2006-10-31,bullish_pct,52.17
2006-10-31,cma,0.32
2006-10-31,hml,-0.33
2006-10-31,mkt_ret,3.63
2006-10-31,mkt_rf,3.22
2006-10-31,neutral_pct,17.39
2006-10-31,rf,0.41
2006-10-31,rmw,-0.11
2006-10-31,sentiment_michigan_ics,93.6
2006-10-31,smb,1.77
2006-11-30,bearish_pct,47.49
2006-11-30,bull_bear_spread,-7.270000000000003
2006-11-30,bullish_pct,40.22
2006-11-30,cma,-0.8
2006-11-30,hml,0.04
2006-11-30,mkt_ret,2.12
2006-11-30,mkt_rf,1.7
2006-11-30,neutral_pct,12.29
2006-11-30,rf,0.42
2006-11-30,rmw,0.2
2006-11-30,sentiment_michigan_ics,92.1
2006-11-30,smb,0.63
2006-12-31,bearish_pct,36.0
2006-12-31,bull_bear_spread,10.0
2006-12-31,bullish_pct,46.0
2006-12-31,cma,1.88
2006-12-31,hml,2.74
2006-12-31,mkt_ret,1.25
2006-12-31,mkt_rf,0.85
2006-12-31,neutral_pct,18.0
2006-12-31,rf,0.4
2006-12-31,rmw,-0.65
2006-12-31,sentiment_michigan_ics,91.7
2006-12-31,smb,-1.16
2007-01-31,bearish_pct,33.33
2007-01-31,bull_bear_spread,6.18
2007-01-31,bullish_pct,39.51
2007-01-31,cma,0.4
2007-01-31,hml,-0.68
2007-01-31,mkt_ret,1.82
2007-01-31,mkt_rf,1.38
2007-01-31,neutral_pct,27.16
2007-01-31,rf,0.44
2007-01-31,rmw,0.19
2007-01-31,sentiment_michigan_ics,96.9
2007-01-31,smb,0.09
2007-02-28,bearish_pct,22.31
2007-02-28,bull_bear_spread,31.54
2007-02-28,bullish_pct,53.85
2007-02-28,cma,-0.66
2007-02-28,hml,-0.08
2007-02-28,mkt_ret,-1.58
2007-02-28,mkt_rf,-1.96
2007-02-28,neutral_pct,23.85
2007-02-28,rf,0.38
2007-02-28,rmw,-0.52
2007-02-28,sentiment_michigan_ics,91.3
2007-02-28,smb,1.23
2007-03-31,bearish_pct,25.61
2007-03-31,bull_bear_spread,17.07
2007-03-31,bullish_pct,42.68
2007-03-31,cma,-0.67
2007-03-31,hml,-0.88
2007-03-31,mkt_ret,1.14
2007-03-31,mkt_rf,0.71
2007-03-31,neutral_pct,31.71
2007-03-31,rf,0.43
2007-03-31,rmw,0.55
2007-03-31,sentiment_michigan_ics,88.4
2007-03-31,smb,0.09
2007-04-30,bearish_pct,37.97
2007-04-30,bull_bear_spread,1.2700000000000031
2007-04-30,bullish_pct,39.24
2007-04-30,cma,1.01
2007-04-30,hml,-1.44
2007-04-30,mkt_ret,3.93
2007-04-30,mkt_rf,3.49
2007-04-30,neutral_pct,22.78
2007-04-30,rf,0.44
2007-04-30,rmw,1.18
2007-04-30,sentiment_michigan_ics,87.1
2007-04-30,smb,-2.21
2007-05-31,bearish_pct,44.79
2007-05-31,bull_bear_spread,-11.46
2007-05-31,bullish_pct,33.33
2007-05-31,cma,-1.26
2007-05-31,hml,-0.59
2007-05-31,mkt_ret,3.64
2007-05-31,mkt_rf,3.23
2007-05-31,neutral_pct,21.88
2007-05-31,rf,0.41
2007-05-31,rmw,1.47
2007-05-31,sentiment_michigan_ics,88.3
2007-05-31,smb,0.16
2007-06-30,bearish_pct,35.77
2007-06-30,bull_bear_spread,3.249999999999993
2007-06-30,bullish_pct,39.02
2007-06-30,cma,0.06
2007-06-30,hml,-1.05
2007-06-30,mkt_ret,-1.56
2007-06-30,mkt_rf,-1.96
2007-06-30,neutral_pct,25.2
2007-06-30,rf,0.4
2007-06-30,rmw,0.49
2007-06-30,sentiment_michigan_ics,85.3
2007-06-30,smb,0.73
2007-07-31,bearish_pct,36.84
2007-07-31,bull_bear_spread,7.369999999999997
2007-07-31,bullish_pct,44.21
2007-07-31,cma,-1.16
2007-07-31,hml,-3.68
2007-07-31,mkt_ret,-3.3200000000000003
2007-07-31,mkt_rf,-3.72
2007-07-31,neutral_pct,18.95
2007-07-31,rf,0.4
2007-07-31,rmw,0.26
2007-07-31,sentiment_michigan_ics,90.4
2007-07-31,smb,-2.66
2007-08-31,bearish_pct,46.27
2007-08-31,bull_bear_spread,-5.969999999999999
2007-08-31,bullish_pct,40.3
2007-08-31,cma,-0.57
2007-08-31,hml,-1.87
2007-08-31,mkt_ret,1.36
2007-08-31,mkt_rf,0.94
2007-08-31,neutral_pct,13.43
2007-08-31,rf,0.42
2007-08-31,rmw,-1.27
2007-08-31,sentiment_michigan_ics,83.4
2007-08-31,smb,-0.11
2007-09-30,bearish_pct,34.18
2007-09-30,bull_bear_spread,15.190000000000005
2007-09-30,bullish_pct,49.370000000000005
2007-09-30,cma,-2.94
2007-09-30,hml,-2.17
2007-09-30,mkt_ret,3.54
2007-09-30,mkt_rf,3.22
2007-09-30,neutral_pct,16.46
2007-09-30,rf,0.32
2007-09-30,rmw,-0.49
2007-09-30,sentiment_michigan_ics,83.4
2007-09-30,smb,-2.25
2007-10-31,bearish_pct,48.21
2007-10-31,bull_bear_spread,-16.959999999999994
2007-10-31,bullish_pct,31.25
2007-10-31,cma,0.06
2007-10-31,hml,-2.87
2007-10-31,mkt_ret,2.11
2007-10-31,mkt_rf,1.79
2007-10-31,neutral_pct,20.54
2007-10-31,rf,0.32
2007-10-31,rmw,-0.33
2007-10-31,sentiment_michigan_ics,80.9
2007-10-31,smb,0.19
2007-11-30,bearish_pct,56.120000000000005
2007-11-30,bull_bear_spread,-27.550000000000004
2007-11-30,bullish_pct,28.57
2007-11-30,cma,-0.36
2007-11-30,hml,-1.09
2007-11-30,mkt_ret,-4.46
2007-11-30,mkt_rf,-4.8
2007-11-30,neutral_pct,15.310000000000002
2007-11-30,rf,0.34
2007-11-30,rmw,1.75
2007-11-30,sentiment_michigan_ics,76.1
2007-11-30,smb,-2.81
2007-12-31,bearish_pct,50.0
2007-12-31,bull_bear_spread,-20.0
2007-12-31,bullish_pct,30.0
2007-12-31,cma,-1.07
2007-12-31,hml,-0.51
2007-12-31,mkt_ret,-0.6
2007-12-31,mkt_rf,-0.87
2007-12-31,neutral_pct,20.0
2007-12-31,rf,0.27
2007-12-31,rmw,0.9
2007-12-31,sentiment_michigan_ics,75.5
2007-12-31,smb,0.11
2008-01-31,bearish_pct,48.870000000000005
2008-01-31,bull_bear_spread,-18.790000000000003
2008-01-31,bullish_pct,30.08
2008-01-31,cma,2.06
2008-01-31,hml,4.0
2008-01-31,mkt_ret,-6.12
2008-01-31,mkt_rf,-6.33
2008-01-31,neutral_pct,21.05
2008-01-31,rf,0.21
2008-01-31,rmw,2.12
2008-01-31,sentiment_michigan_ics,78.4
2008-01-31,smb,-1.02
2008-02-29,bearish_pct,45.26
2008-02-29,bull_bear_spread,-10.949999999999996
2008-02-29,bullish_pct,34.31
2008-02-29,cma,-0.97
2008-02-29,hml,-0.72
2008-02-29,mkt_ret,-2.96
2008-02-29,mkt_rf,-3.09
2008-02-29,neutral_pct,20.44
2008-02-29,rf,0.13
2008-02-29,rmw,1.07
2008-02-29,sentiment_michigan_ics,70.8
2008-02-29,smb,-0.48
2008-03-31,bearish_pct,33.6
2008-03-31,bull_bear_spread,8.0
2008-03-31,bullish_pct,41.6
2008-03-31,cma,0.47
2008-03-31,hml,0.31
2008-03-31,mkt_ret,-0.7699999999999999
2008-03-31,mkt_rf,-0.94
2008-03-31,neutral_pct,24.8
2008-03-31,rf,0.17
2008-03-31,rmw,0.89
2008-03-31,sentiment_michigan_ics,69.5
2008-03-31,smb,0.71
2008-04-30,bearish_pct,27.500000000000004
2008-04-30,bull_bear_spread,19.17
2008-04-30,bullish_pct,46.67
2008-04-30,cma,-2.56
2008-04-30,hml,-0.96
2008-04-30,mkt_ret,4.79
2008-04-30,mkt_rf,4.61
2008-04-30,neutral_pct,25.83
2008-04-30,rf,0.18
2008-04-30,rmw,1.81
2008-04-30,sentiment_michigan_ics,62.6
2008-04-30,smb,-1.69
2008-05-31,bearish_pct,45.76
2008-05-31,bull_bear_spread,-14.4
2008-05-31,bullish_pct,31.36
2008-05-31,cma,0.14
2008-05-31,hml,-1.5
2008-05-31,mkt_ret,2.0500000000000003
2008-05-31,mkt_rf,1.87
2008-05-31,neutral_pct,22.88
2008-05-31,rf,0.18
2008-05-31,rmw,0.92
2008-05-31,sentiment_michigan_ics,59.8
2008-05-31,smb,2.97
2008-06-30,bearish_pct,52.27
2008-06-30,bull_bear_spread,-21.020000000000003
2008-06-30,bullish_pct,31.25
2008-06-30,cma,-0.69
2008-06-30,hml,-2.51
2008-06-30,mkt_ret,-8.26
2008-06-30,mkt_rf,-8.43
2008-06-30,neutral_pct,16.48
2008-06-30,rf,0.17
2008-06-30,rmw,4.98
2008-06-30,sentiment_michigan_ics,56.4
2008-06-30,smb,1.15
2008-07-31,bearish_pct,41.18
2008-07-31,bull_bear_spread,-1.1799999999999995
2008-07-31,bullish_pct,40.0
2008-07-31,cma,0.99
2008-07-31,hml,5.2
2008-07-31,mkt_ret,-0.6
2008-07-31,mkt_rf,-0.75
2008-07-31,neutral_pct,18.82
2008-07-31,rf,0.15
2008-07-31,rmw,-1.36
2008-07-31,sentiment_michigan_ics,61.2
2008-07-31,smb,2.6
2008-08-31,bearish_pct,45.45
2008-08-31,bull_bear_spread,-14.77
2008-08-31,bullish_pct,30.680000000000003
2008-08-31,cma,0.66
2008-08-31,hml,1.52
2008-08-31,mkt_ret,1.66
2008-08-31,mkt_rf,1.53
2008-08-31,neutral_pct,23.86
2008-08-31,rf,0.13
2008-08-31,rmw,1.83
2008-08-31,sentiment_michigan_ics,63.0
2008-08-31,smb,3.4
2008-09-30,bearish_pct,45.74
2008-09-30,bull_bear_spread,-11.699999999999996
2008-09-30,bullish_pct,34.04
2008-09-30,cma,1.7
2008-09-30,hml,5.66
2008-09-30,mkt_ret,-9.2
2008-09-30,mkt_rf,-9.35
2008-09-30,neutral_pct,20.21
2008-09-30,rf,0.15
2008-09-30,rmw,2.4
2008-09-30,sentiment_michigan_ics,70.3
2008-09-30,smb,-1.07
2008-10-31,bearish_pct,40.57
2008-10-31,bull_bear_spread,-3.43
2008-10-31,bullish_pct,37.14
2008-10-31,cma,1.38
2008-10-31,hml,-1.89
2008-10-31,mkt_ret,-17.12
2008-10-31,mkt_rf,-17.2
2008-10-31,neutral_pct,22.29
2008-10-31,rf,0.08
2008-10-31,rmw,2.73
2008-10-31,sentiment_michigan_ics,57.6
2008-10-31,smb,-2.31
2008-11-30,bearish_pct,44.89
2008-11-30,bull_bear_spread,-13.64
2008-11-30,bullish_pct,31.25
2008-11-30,cma,2.39
2008-11-30,hml,-6.21
2008-11-30,mkt_ret,-7.71
2008-11-30,mkt_rf,-7.74
2008-11-30,neutral_pct,23.86
2008-11-30,rf,0.03
2008-11-30,rmw,4.67
2008-11-30,sentiment_michigan_ics,55.3
2008-11-30,smb,-3.01
2008-12-31,bearish_pct,43.86
2008-12-31,bull_bear_spread,-14.91
2008-12-31,bullish_pct,28.95
2008-12-31,cma,-1.52
2008-12-31,hml,0.05
2008-12-31,mkt_ret,1.77
