mkt_rf,smb,hml,rf,date,mkt_ret,rmw,cma
5.57,0.29,1.01,0.0,2013-01-31,5.57,-2.01,1.52
1.28,-0.3,0.21,0.0,2013-02-28,1.28,-0.59,0.61
4.04,0.83,-0.22,0.0,2013-03-31,4.04,0.27,1.41
1.56,-2.37,0.44,0.0,2013-04-30,1.56,0.39,0.43
2.8,1.7,2.67,0.0,2013-05-31,2.8,-2.0,-0.95
-1.2,1.31,-0.05,0.0,2013-06-30,-1.2,-0.28,-0.06
5.65,1.81,0.58,0.0,2013-07-31,5.65,-1.35,0.57
-2.71,0.32,-2.73,0.0,2013-08-31,-2.71,0.71,-2.17
3.77,2.89,-1.18,0.0,2013-09-30,3.77,-0.54,-1.32
4.17,-1.56,1.22,0.0,2013-10-31,4.17,2.75,0.89
3.11,1.31,0.19,0.0,2013-11-30,3.11,0.26,0.06
2.81,-0.44,0.0,0.0,2013-12-31,2.81,-0.58,0.08
-3.32,0.93,-1.99,0.0,2014-01-31,-3.32,-3.91,-1.54
4.66,0.36,-0.35,0.0,2014-02-28,4.66,-0.25,-0.54
0.43,-1.86,4.9,0.0,2014-03-31,0.43,2.02,1.92
-0.18,-4.18,1.22,0.0,2014-04-30,-0.18,3.4,0.93
2.05,-1.85,-0.1,0.0,2014-05-31,2.05,-0.09,-0.96
2.6,3.05,-0.71,0.0,2014-06-30,2.6,-1.83,-1.91
-2.03,-4.18,-0.08,0.0,2014-07-31,-2.03,0.93,0.51
4.24,0.41,-0.57,0.0,2014-08-31,4.24,-0.64,-0.69
-1.96,-3.59,-1.47,0.0,2014-09-30,-1.96,1.2,-0.59
2.51,4.05,-1.63,0.0,2014-10-31,2.51,-0.39,0.21
2.56,-2.05,-3.13,0.0,2014-11-30,2.56,1.57,0.14
-0.05,2.53,2.12,0.0,2014-12-31,-0.05,-1.21,0.9
-3.1,-0.59,-3.45,0.0,2015-01-31,-3.1,1.58,-1.64
6.13,0.61,-1.79,0.0,2015-02-28,6.13,-1.1,-1.75
-1.11,3.05,-0.38,0.0,2015-03-31,-1.11,0.07,-0.62
0.59,-2.99,1.8,0.0,2015-04-30,0.59,0.05,-0.62
1.37,0.95,-1.11,0.0,2015-05-31,1.37,-1.76,-0.83
-1.52,2.94,-0.82,0.0,2015-06-30,-1.52,0.35,-1.54
1.57,-4.17,-4.16,0.0,2015-07-31,1.57,0.31,-2.44
-6.02,0.37,2.75,0.0,2015-08-31,-6.02,0.66,1.29
-3.06,-2.63,0.55,0.0,2015-09-30,-3.06,1.8,-0.59
7.75,-1.9,-0.47,0.0,2015-10-31,7.75,0.95,0.61
0.57,3.58,-0.43,0.0,2015-11-30,0.57,-2.65,-1.06
-2.15,-2.8,-2.57,0.01,2015-12-31,-2.14,0.34,0.12
-5.74,-3.4,2.08,0.01,2016-01-31,-5.73,2.78,3.05
-0.06,0.73,-0.61,0.02,2016-02-29,-0.039999999999999994,3.31,1.94
6.95,0.75,1.22,0.02,2016-03-31,6.97,0.68,0.01
0.92,0.77,3.22,0.01,2016-04-30,0.93,-2.85,1.77
1.78,-0.18,-1.62,0.01,2016-05-31,1.79,-1.1,-2.54
-0.03,0.6,-1.49,0.02,2016-06-30,-0.009999999999999998,1.45,1.9
3.94,2.45,-1.24,0.02,2016-07-31,3.96,1.31,-1.16
0.49,1.17,3.17,0.02,2016-08-31,0.51,-1.85,-0.36
0.27,2.08,-1.19,0.02,2016-09-30,0.29000000000000004,-2.18,0.03
-2.01,-4.39,4.11,0.02,2016-10-31,-1.9899999999999998,0.99,0.25
4.86,5.6,8.29,0.01,2016-11-30,4.87,-0.24,3.71
1.81,0.14,3.47,0.03,2016-12-31,1.84,1.24,-0.32
1.94,-1.16,-2.76,0.04,2017-01-31,1.98,-0.51,-1.06
3.55,-2.15,-1.5,0.04,2017-02-28,3.59,0.45,-1.8
0.17,1.13,-3.33,0.03,2017-03-31,0.2,0.63,-0.95
1.08,0.66,-2.05,0.05,2017-04-30,1.1300000000000001,1.79,-1.6
1.07,-2.52,-3.82,0.06,2017-05-31,1.1300000000000001,0.99,-1.66
0.79,2.21,1.5,0.06,2017-06-30,0.8500000000000001,-2.26,0.04
1.88,-1.45,-0.23,0.07,2017-07-31,1.95,-0.75,-0.15
0.18,-1.67,-2.13,0.09,2017-08-31,0.27,0.2,-2.38
2.49,4.45,3.15,0.09,2017-09-30,2.58,-1.54,1.63
2.26,-1.93,0.13,0.09,2017-10-31,2.3499999999999996,0.92,-3.14
3.12,-0.6,-0.09,0.08,2017-11-30,3.2,3.19,-0.1
1.06,-1.32,0.05,0.09,2017-12-31,1.1500000000000001,0.73,1.79
5.58,-3.16,-1.32,0.11,2018-01-31,5.69,-0.75,-1.05
-3.64,0.27,-1.1,0.11,2018-02-28,-3.5300000000000002,0.53,-2.36
-2.35,4.05,-0.21,0.12,2018-03-31,-2.23,-0.41,0.08
0.27,1.09,0.53,0.14,2018-04-30,0.41000000000000003,-2.42,1.24
2.66,5.24,-3.14,0.14,2018-05-31,2.8000000000000003,-1.98,-1.49
0.49,1.11,-2.33,0.14,2018-06-30,0.63,0.83,0.2
3.2,-2.23,0.49,0.16,2018-07-31,3.3600000000000003,1.53,0.31
3.45,1.14,-3.91,0.16,2018-08-31,3.6100000000000003,-0.29,-2.57
0.06,-2.29,-1.62,0.15,2018-09-30,0.21,0.65,1.36
-7.65,-4.7,3.38,0.19,2018-10-31,-7.46,1.03,3.6
1.71,-0.73,0.36,0.18,2018-11-30,1.89,-0.61,0.4
-9.55,-2.31,-1.92,0.19,2018-12-31,-9.360000000000001,-0.03,0.24
8.37,2.76,-0.39,0.21,2019-01-31,8.58,-0.73,-1.65
3.42,2.05,-2.66,0.18,2019-02-28,3.6,0.16,-1.54
1.1,-3.03,-4.14,0.19,2019-03-31,1.29,0.88,-0.9
3.97,-1.74,2.13,0.21,2019-04-30,4.180000000000001,1.61,-2.18
-6.92,-1.26,-2.45,0.21,2019-05-31,-6.71,-0.48,1.76
6.92,0.26,-0.64,0.18,2019-06-30,7.1,0.89,-0.42
1.23,-1.96,0.5,0.19,2019-07-31,1.42,-0.13,0.37
-2.55,-2.39,-4.77,0.16,2019-08-31,-2.3899999999999997,0.53,-0.62
1.41,-0.97,6.76,0.18,2019-09-30,1.5899999999999999,1.82,3.38
2.07,0.27,-1.92,0.15,2019-10-31,2.2199999999999998,0.43,-1.03
3.87,0.72,-2.0,0.12,2019-11-30,3.99,-1.64,-1.14
2.77,0.76,1.73,0.14,2019-12-31,2.91,0.05,1.19
-0.11,-3.1,-6.22,0.13,2020-01-31,0.020000000000000004,-1.19,-2.19
-8.15,1.08,-3.82,0.12,2020-02-29,-8.030000000000001,-1.43,-2.53
-13.37,-4.69,-13.83,0.12,2020-03-31,-13.25,-1.61,1.19
13.6,2.5,-1.34,0.0,2020-04-30,13.6,2.76,-1.02
5.57,2.4,-5.0,0.01,2020-05-31,5.58,0.96,-3.16
2.45,2.67,-2.17,0.01,2020-06-30,2.46,0.14,0.55
5.83,-2.35,-1.44,0.01,2020-07-31,5.84,0.38,0.97
7.62,-0.2,-3.02,0.01,2020-08-31,7.63,4.27,-1.51
-3.64,0.06,-2.72,0.01,2020-09-30,-3.6300000000000003,-1.38,-1.93
-2.08,4.34,4.25,0.01,2020-10-31,-2.0700000000000003,-0.77,-0.57
12.45,5.81,2.09,0.01,2020-11-30,12.459999999999999,-2.25,1.28
4.63,5.01,-1.68,0.01,2020-12-31,4.64,-1.97,-0.06
-0.07,7.14,3.22,0.0,2021-01-31,-0.07,-3.65,4.97
2.81,2.02,7.2,0.0,2021-02-28,2.81,0.33,-1.99
3.16,-2.33,7.35,0.0,2021-03-31,3.16,6.35,3.52
4.95,-3.19,-1.02,0.0,2021-04-30,4.95,2.43,-2.72
0.3,-0.2,7.04,0.0,2021-05-31,0.3,2.34,3.01
2.74,1.7,-7.86,0.0,2021-06-30,2.74,-2.14,-0.93
1.34,-3.93,-1.79,0.0,2021-07-31,1.34,5.5,-0.59
2.94,-0.32,-0.23,0.0,2021-08-31,2.94,-0.26,-1.72
-4.4,0.66,5.12,0.0,2021-09-30,-4.4,-1.92,2.0
