term,coef,std_err,t_stat,p_value,ci_low,ci_high
C(date)[T.Timestamp('2012-12-31 00:00:00')],-0.5485567218002912,0.3755944578451465,-1.460502705357956,0.1441519645653399,-1.284708331969626,0.18759488836904348
C(date)[T.Timestamp('2013-01-31 00:00:00')],-0.41017700650307953,0.3477146759852834,-1.1796367390614246,0.23814472428362443,-1.0916852483302493,0.2713312353240903
C(date)[T.Timestamp('2013-02-28 00:00:00')],-0.727237616672149,0.5069551011393826,-1.434520759407847,0.1514237093169229,-1.7208513566841994,0.26637612333990135
C(date)[T.Timestamp('2013-03-31 00:00:00')],-0.4211453037160314,0.4202865444854902,-1.002043270815611,0.31632269463996454,-1.2448917940943836,0.4026011866623206
C(date)[T.Timestamp('2013-04-30 00:00:00')],-0.7695384988679626,0.558489944399324,-1.3778914134177096,0.16823681642423227,-1.8641586756184148,0.32508167788248965
C(date)[T.Timestamp('2013-05-31 00:00:00')],-0.5453296358608715,0.3965714729043016,-1.3751105995273325,0.16909715874323417,-1.3225954400493045,0.2319361683275616
C(date)[T.Timestamp('2013-06-30 00:00:00')],-0.7310848714636528,0.47539392657912116,-1.5378506762264583,0.12408512961014091,-1.662839846027809,0.20067010310050348
C(date)[T.Timestamp('2013-07-31 00:00:00')],-0.3034318270459536,0.32377674592116984,-0.9371637428212043,0.3486743369047126,-0.9380225880830223,0.33115893399111507
C(date)[T.Timestamp('2013-08-31 00:00:00')],-0.9091530404567703,0.4815516101366982,-1.887965944499051,0.05903052249158471,-1.8529768530219721,0.0346707721084315
C(date)[T.Timestamp('2013-09-30 00:00:00')],-0.5746053523103527,0.4618782127237477,-1.2440624746550404,0.21347657055158786,-1.479870014492628,0.3306593098719225
C(date)[T.Timestamp('2013-10-31 00:00:00')],-0.3278182436020005,0.4659234903821805,-0.7035881434806021,0.4816892971993172,-1.2410115043022687,0.5853750170982676
C(date)[T.Timestamp('2013-11-30 00:00:00')],-0.4798770682569765,0.41109074810861596,-1.1673263639837164,0.2430785957215562,-1.285600128927491,0.32584599241353807
C(date)[T.Timestamp('2013-12-31 00:00:00')],-0.4419215150341379,0.3144227113441476,-1.4055012538532499,0.15987227672912718,-1.0581787051901008,0.1743356751218249
C(date)[T.Timestamp('2014-01-31 00:00:00')],-1.0957519552947026,0.39608964837796684,-2.76642411580796,0.005667477338976928,-1.8720734007646516,-0.31943050982475374
C(date)[T.Timestamp('2014-02-28 00:00:00')],-0.44341697129477387,0.38429742110478754,-1.1538380091649536,0.2485665879739274,-1.1966260760117802,0.30979213342223255
C(date)[T.Timestamp('2014-03-31 00:00:00')],-0.426689703014291,0.5199408154151649,-0.8206505247594107,0.41184535967348634,-1.4457549753204022,0.5923755692918203
C(date)[T.Timestamp('2014-04-30 00:00:00')],-0.5494554775076764,0.5371102737828738,-1.0229844862915305,0.3063151809525776,-1.6021722698485572,0.5032613148332042
C(date)[T.Timestamp('2014-05-31 00:00:00')],-0.6460037639548373,0.40867618834527464,-1.5807227883045973,0.11394143550853947,-1.4469943744506835,0.1549868465410088
C(date)[T.Timestamp('2014-06-30 00:00:00')],-0.5739599416547894,0.37996361534802914,-1.5105655343579898,0.13089918069906034,-1.318674943172557,0.17075505986297823
C(date)[T.Timestamp('2014-07-31 00:00:00')],-0.8482020434878901,0.5006873340634911,-1.6940752956621254,0.09025097603866115,-1.8295311857677072,0.13312709879192708
C(date)[T.Timestamp('2014-08-31 00:00:00')],-0.42665179299152445,0.33187769084579766,-1.285569367149063,0.19859339326082415,-1.0771201143216063,0.22381652833855736
C(date)[T.Timestamp('2014-09-30 00:00:00')],-0.823366110364351,0.43772530895947875,-1.881010975402777,0.05997042586200208,-1.6812919510465973,0.034559730317895165
C(date)[T.Timestamp('2014-10-31 00:00:00')],-0.3424153715291412,0.323495653449065,-1.0584852311873647,0.2898342804210666,-0.9764552014445591,0.29162445838627676
C(date)[T.Timestamp('2014-11-30 00:00:00')],-0.47642101445301377,0.40516571274834884,-1.1758670575091879,0.23964800466108538,-1.2705312192102785,0.317689190304251
C(date)[T.Timestamp('2014-12-31 00:00:00')],-0.3314881576187279,0.22563622970410466,-1.4691264698645052,0.14179848943082246,-0.7737270414461798,0.11075072620872395
C(date)[T.Timestamp('2015-01-31 00:00:00')],-0.7078920003848261,0.4133573773078965,-1.7125423162764561,0.08679677324632475,-1.5180575726522374,0.10227357188258523
C(date)[T.Timestamp('2015-02-28 00:00:00')],-0.39430467372644235,0.36627611787671016,-1.0765230231558987,0.2816934098894015,-1.1121926731619418,0.32358332570905707
